JobID           JobName     MaxRSS     ReqMem        NodeList 
------------ ---------- ---------- ---------- --------------- 
3359847      mem200_03+                31968G nid[001000,001+ 
3359847.bat+      batch                             nid001000 
3359847.ext+     extern                       nid[001000,001+ 
3359847.29   alya_3D_l+    516420K            nid[001122,001+ 
3359847.30   alya_3D_l+    516372K            nid[001122,001+ 
3359847.31   alya_3D_l+    500212K            nid[001000,001+ 
3359847.32   alya_3D_l+    500236K            nid[001030-001+ 
3359847.33   alya_3D_l+    500400K            nid[001000,001+ 
3359847.34   alya_3D_l+    500144K            nid[001253-001+ 
3359847.35   alya_3D_l+    500164K            nid[001122,001+ 
3359847.36   alya_3D_l+    500136K            nid[001122,001+ 
3359847.37   alya_3D_l+    500096K            nid[002657,002+ 
3359847.38   alya_3D_l+    500108K            nid[001253-001+ 
3359847.39   alya_3D_l+    500204K            nid[001000,001+ 
3359847.40   alya_3D_l+    501296K            nid[001000,001+ 
3359847.41   alya_3D_l+    501052K            nid[001122,001+ 
3359847.42   alya_3D_l+    515684K            nid[001420-001+ 
3359847.43   alya_3D_l+    500260K            nid[002657,002+ 
3359847.44   alya_3D_l+    500012K            nid[001122,001+ 
3359847.45   alya_3D_l+    499988K            nid[001253-001+ 
3359847.46   alya_3D_l+    500252K            nid[001420-001+ 
3359847.47   alya_3D_l+    501092K            nid[001431,001+ 
3359847.48   alya_3D_l+    500004K            nid[001420-001+ 
3359847.49   alya_3D_l+    500376K            nid[001000,001+ 
3359847.50   alya_3D_l+    500276K            nid[001122,001+ 
3359847.51   alya_3D_l+    500288K            nid[001253-001+ 
3359847.52   alya_3D_l+    515396K            nid[001253-001+ 
3359847.53   alya_3D_l+    516400K            nid[001000,001+ 
3359847.54   alya_3D_l+    516072K            nid[001000,001+ 
3359847.55   alya_3D_l+    516136K            nid[001122,001+ 
3359847.56   alya_3D_l+    502264K            nid[001122,001+ 
3359847.57   alya_3D_l+    500200K            nid[001921-001+ 
3359847.58   alya_3D_l+    500128K            nid[001253-001+ 
3359847.59   alya_3D_l+    500028K            nid[001000,001+ 
3359847.60   alya_3D_l+    516640K            nid[001030-001+ 
3359847.61   alya_3D_l+    502176K            nid[001000,001+ 
3359847.62   alya_3D_l+    500584K            nid[001420-001+ 
3359847.63   alya_3D_l+    500252K            nid[001921-001+ 
3359847.64   alya_3D_l+    516184K            nid[001253-001+ 
3359847.65   alya_3D_l+    500072K            nid[001122,001+ 
3359847.66   alya_3D_l+    515760K            nid[001149,001+ 
3359847.67   alya_3D_l+    500604K            nid[001122,001+ 
3359847.68   alya_3D_l+    500060K            nid[002657,002+ 
3359847.69   alya_3D_l+    500200K            nid[001000,001+ 
3359847.70   alya_3D_l+    500364K            nid[001253-001+ 
3359847.71   alya_3D_l+    488.50M            nid[001420-001+ 
3359847.72   alya_3D_l+    515836K            nid[001000,001+ 
3359847.73   alya_3D_l+    500288K            nid[001921-001+ 
3359847.74   alya_3D_l+    500648K            nid[001122,001+ 
3359847.75   alya_3D_l+    500636K            nid[001122,001+ 
3359847.76   alya_3D_l+    500344K            nid[001253-001+ 
3359847.77   alya_3D_l+    500024K            nid[001420-001+ 
3359847.78   alya_3D_l+    500152K            nid[001000,001+ 
3359847.79   alya_3D_l+    499868K            nid[001253-001+ 
3359847.80   alya_3D_l+    500080K            nid[001122,001+ 
3359847.81   alya_3D_l+    500132K            nid[001149,001+ 
3359847.82   alya_3D_l+    500508K            nid[001194,001+ 
3359847.83   alya_3D_l+    500276K            nid[001122,001+ 
3359847.84   alya_3D_l+    517380K            nid[001000,001+ 
3359847.85   alya_3D_l+    500268K            nid[001253-001+ 
3359847.86   alya_3D_l+    500240K            nid[001000,001+ 
3359847.87   alya_3D_l+    500476K            nid[001000,001+ 
3359847.88   alya_3D_l+    500260K            nid[001420-001+ 
3359847.89   alya_3D_l+    500064K            nid[001122,001+ 
3359847.90   alya_3D_l+    516288K            nid[002657,002+ 
3359847.91   alya_3D_l+    517212K            nid[001253-001+ 
3359847.92   alya_3D_l+    516304K            nid[001253-001+ 
3359847.93   alya_3D_l+    499880K            nid[001000,001+ 
3359847.94   alya_3D_l+    500340K            nid[001420-001+ 
3359847.95   alya_3D_l+    516076K            nid[001122,001+ 
3359847.96   alya_3D_l+    500084K            nid[002657,002+ 
3359847.97   alya_3D_l+    500080K            nid[001921-001+ 
3359847.98   alya_3D_l+    499960K            nid[001122,001+ 
3359847.99   alya_3D_l+    500112K            nid[001122,001+ 
3359847.100  alya_3D_l+    499988K            nid[001000,001+ 
3359847.101  alya_3D_l+    500468K            nid[001000,001+ 
3359847.102  alya_3D_l+    500140K            nid[002657,002+ 
3359847.103  alya_3D_l+    502276K            nid[001921-001+ 
3359847.104  alya_3D_l+    500460K            nid[001122,001+ 
3359847.105  alya_3D_l+    515628K            nid[001122,001+ 
3359847.106  alya_3D_l+    500132K            nid[001431,001+ 
3359847.107  alya_3D_l+    500604K            nid[001420-001+ 
3359847.108  alya_3D_l+    500212K            nid[001000,001+ 
3359847.109  alya_3D_l+    500100K            nid[002657,002+ 
3359847.110  alya_3D_l+    500612K            nid[001253-001+ 
3359847.111  alya_3D_l+    499996K            nid[001253-001+ 
3359847.112  alya_3D_l+    500280K            nid[001000,001+ 
3359847.113  alya_3D_l+    516128K            nid[001000,001+ 
3359847.114  alya_3D_l+    500232K            nid[001420-001+ 
3359847.115  alya_3D_l+    499952K            nid[002657,002+ 
3359847.116  alya_3D_l+    500116K            nid[001122,001+ 
3359847.117  alya_3D_l+    500416K            nid[001122,001+ 
3359847.118  alya_3D_l+    514696K            nid[001271,001+ 
3359847.119  alya_3D_l+    500180K            nid[001253-001+ 
3359847.120  alya_3D_l+    500324K            nid[001000,001+ 
3359847.121  alya_3D_l+    499924K            nid[001000,001+ 
3359847.122  alya_3D_l+    517420K            nid[001921-001+ 
3359847.123  alya_3D_l+    500288K            nid[001000,001+ 
3359847.124  alya_3D_l+    500252K            nid[001122,001+ 
3359847.125  alya_3D_l+    500112K            nid[001271,001+ 
3359847.126  alya_3D_l+    501160K            nid[001312,001+ 
3359847.127  alya_3D_l+    516160K            nid[001253-001+ 
3359847.128  alya_3D_l+    500292K            nid[001921-001+ 
3359847.129  alya_3D_l+    499960K            nid[001000,001+ 
3359847.130  alya_3D_l+    500520K            nid[001030-001+ 
3359847.131  alya_3D_l+    500332K            nid[001064,001+ 
3359847.132  alya_3D_l+    500108K            nid[001000,001+ 
3359847.133  alya_3D_l+    500044K            nid[001122,001+ 
3359847.134  alya_3D_l+    515948K            nid[001122,001+ 
3359847.135  alya_3D_l+    500096K            nid[001420-001+ 
3359847.136  alya_3D_l+    501392K            nid[001420-001+ 
3359847.137  alya_3D_l+    500152K            nid[001253-001+ 
3359847.138  alya_3D_l+    500460K            nid[001000,001+ 
3359847.139  alya_3D_l+    488.50M            nid[001000,001+ 
3359847.140  alya_3D_l+    500484K            nid[001122,001+ 
3359847.141  alya_3D_l+    500700K            nid[001921-001+ 
3359847.142  alya_3D_l+    500096K            nid[001030-001+ 
3359847.143  alya_3D_l+    500156K            nid[001000,001+ 
3359847.144  alya_3D_l+    500140K            nid[001271,001+ 
3359847.145  alya_3D_l+    500368K            nid[001253-001+ 
3359847.146  alya_3D_l+    500648K            nid[001122,001+ 
3359847.147  alya_3D_l+    515116K            nid[001921-001+ 
3359847.148  alya_3D_l+    500240K            nid[001420-001+ 
3359847.149  alya_3D_l+    516216K            nid[002657,002+ 
3359847.150  alya_3D_l+    515332K            nid[001000,001+ 
3359847.151  alya_3D_l+    499880K            nid[001253-001+ 
3359847.152  alya_3D_l+    516180K            nid[001122,001+ 
3359847.153  alya_3D_l+    501724K            nid[001122,001+ 
3359847.154  alya_3D_l+    500660K            nid[001420-001+ 
3359847.155  alya_3D_l+    500360K            nid[002657,002+ 
3359847.156  alya_3D_l+    500196K            nid[001000,001+ 
3359847.157  alya_3D_l+    500180K            nid[001253-001+ 
3359847.158  alya_3D_l+    500212K            nid[001431,001+ 
3359847.159  alya_3D_l+    516464K            nid[001420-001+ 
3359847.160  alya_3D_l+    499908K            nid[001122,001+ 
3359847.161  alya_3D_l+    500636K            nid[001122,001+ 
3359847.162  alya_3D_l+    501976K            nid[001000,001+ 
3359847.163  alya_3D_l+    500376K            nid[001000,001+ 
3359847.164  alya_3D_l+    499900K            nid[001271,001+ 
3359847.165  alya_3D_l+    521588K            nid[001253-001+ 
3359847.166  alya_3D_l+    500172K            nid[002657,002+ 
3359847.167  alya_3D_l+    500740K            nid[001122,001+ 
3359847.168  alya_3D_l+    499868K            nid[001921-001+ 
3359847.169  alya_3D_l+    501952K            nid[002657,002+ 
3359847.170  alya_3D_l+    501500K            nid[001122,001+ 
3359847.171  alya_3D_l+    501648K            nid[001122,001+ 
3359847.172  alya_3D_l+    500044K            nid[001000,001+ 
3359847.173  alya_3D_l+    500008K            nid[001253-001+ 
3359847.174  alya_3D_l+    500572K            nid[001921-001+ 
3359847.175  alya_3D_l+    499968K            nid[002657,002+ 
3359847.176  alya_3D_l+    500252K            nid[001000,001+ 
3359847.177  alya_3D_l+    500772K            nid[001030-001+ 
3359847.178  alya_3D_l+    516152K            nid[001000,001+ 
3359847.179  alya_3D_l+    500084K            nid[001921-001+ 
3359847.180  alya_3D_l+    500152K            nid[002657,002+ 
3359847.181  alya_3D_l+    500192K            nid[001253-001+ 
3359847.182  alya_3D_l+    516448K            nid[001122,001+ 
3359847.183  alya_3D_l+    515264K            nid[001420-001+ 
3359847.184  alya_3D_l+    500540K            nid[001253-001+ 
3359847.185  alya_3D_l+    516284K            nid[001271,001+ 
3359847.186  alya_3D_l+    500328K            nid[001000,001+ 
3359847.187  alya_3D_l+    500368K            nid[001000,001+ 
3359847.188  alya_3D_l+    500260K            nid[001122,001+ 
3359847.189  alya_3D_l+    499936K            nid[001420-001+ 
3359847.190  alya_3D_l+    500148K            nid[001431,001+ 
3359847.191  alya_3D_l+    516416K            nid[001000,001+ 
3359847.192  alya_3D_l+    500244K            nid[001000,001+ 
3359847.193  alya_3D_l+    516324K            nid[001253-001+ 
3359847.194  alya_3D_l+    499836K            nid[001122,001+ 
3359847.195  alya_3D_l+    500160K            nid[001122,001+ 
3359847.196  alya_3D_l+    502320K            nid[001149,001+ 
3359847.197  alya_3D_l+    500088K            nid[001122,001+ 
3359847.198  alya_3D_l+    500132K            nid[001253-001+ 
3359847.199  alya_3D_l+    500216K            nid[001000,001+ 
3359847.200  alya_3D_l+    532892K            nid[001000,001+ 
3359847.201  alya_3D_l+    502116K            nid[001122,001+ 
3359847.202  alya_3D_l+    499912K            nid[001149,001+ 
3359847.203  alya_3D_l+    515664K            nid[001194,001+ 
3359847.204  alya_3D_l+    500120K            nid[001030-001+ 
3359847.205  alya_3D_l+    515212K            nid[001000,001+ 
3359847.206  alya_3D_l+    539868K            nid[001420-001+ 
3359847.207  alya_3D_l+    500068K            nid[001921-001+ 
3359847.208  alya_3D_l+    500472K            nid[001253-001+ 
3359847.209  alya_3D_l+    500200K            nid[002657,002+ 
3359847.210  alya_3D_l+    517236K            nid[001000,001+ 
3359847.211  alya_3D_l+    500308K            nid[001122,001+ 
3359847.212  alya_3D_l+    500256K            nid[001420-001+ 
3359847.213  alya_3D_l+    500364K            nid[001921-001+ 
3359847.214  alya_3D_l+    500340K            nid[001253-001+ 
3359847.215  alya_3D_l+    500232K            nid[001921-001+ 
3359847.216  alya_3D_l+    516076K            nid[001000,001+ 
3359847.217  alya_3D_l+    500520K            nid[001000,001+ 
3359847.218  alya_3D_l+    500588K            nid[001149,001+ 
3359847.219  alya_3D_l+    516180K            nid[001122,001+ 
3359847.220  alya_3D_l+    500124K            nid[001253-001+ 
3359847.221  alya_3D_l+    500056K            nid[002657,002+ 
3359847.222  alya_3D_l+    500008K            nid[001000,001+ 
3359847.223  alya_3D_l+    516248K            nid[001030-001+ 
3359847.224  alya_3D_l+    517608K            nid[001064,001+ 
3359847.225  alya_3D_l+    500504K            nid[001000,001+ 
3359847.226  alya_3D_l+    500212K            nid[001122,001+ 
3359847.227  alya_3D_l+    500188K            nid[002657,002+ 
3359847.228  alya_3D_l+    500016K            nid[001420-001+ 
3359847.229  alya_3D_l+    500044K            nid[001149,001+ 
3359847.230  alya_3D_l+    500180K            nid[001000,001+ 
3359847.231  alya_3D_l+    499976K            nid[001030-001+ 
3359847.232  alya_3D_l+    500252K            nid[001000,001+ 
3359847.233  alya_3D_l+    499664K            nid[002657,002+ 
3359847.234  alya_3D_l+    500148K            nid[001253-001+ 
3359847.235  alya_3D_l+    500228K            nid[001253-001+ 
3359847.236  alya_3D_l+    516312K            nid[001431,001+ 
3359847.237  alya_3D_l+    500580K            nid[001122,001+ 
3359847.238  alya_3D_l+    500200K            nid[001000,001+ 
3359847.239  alya_3D_l+    512836K            nid[001000,001+ 
3359847.240  alya_3D_l+    500208K            nid[001253-001+ 
3359847.241  alya_3D_l+    500152K            nid[001253-001+ 
3359847.242  alya_3D_l+    503632K            nid[002657,002+ 
3359847.243  alya_3D_l+    500244K            nid[001000,001+ 
3359847.244  alya_3D_l+    520708K            nid[001000,001+ 
3359847.245  alya_3D_l+    514952K            nid[001122,001+ 
3359847.246  alya_3D_l+    500576K            nid[001921-001+ 
3359847.247  alya_3D_l+    500212K            nid[001253-001+ 
3359847.248  alya_3D_l+    515752K            nid[001253-001+ 
3359847.249  alya_3D_l+    500252K            nid[001000,001+ 
3359847.250  alya_3D_l+    500648K            nid[001000,001+ 
3359847.251  alya_3D_l+    500508K            nid[001149,001+ 
3359847.252  alya_3D_l+    500272K            nid[001122,001+ 
3359847.253  alya_3D_l+    500104K            nid[002657,002+ 
3359847.254  alya_3D_l+    518648K            nid[001253-001+ 
3359847.255  alya_3D_l+    516220K            nid[001420-001+ 
3359847.256  alya_3D_l+    500064K            nid[001921-001+ 
3359847.257  alya_3D_l+    499940K            nid[001000,001+ 
3359847.258  alya_3D_l+    500600K            nid[002657,002+ 
3359847.259  alya_3D_l+    515856K            nid[001122,001+ 
3359847.260  alya_3D_l+    500136K            nid[001420-001+ 
3359847.261  alya_3D_l+    500040K            nid[001253-001+ 
3359847.262  alya_3D_l+    500036K            nid[001253-001+ 
3359847.263  alya_3D_l+    500096K            nid[001122,001+ 
3359847.264  alya_3D_l+    516660K            nid[001000,001+ 
3359847.265  alya_3D_l+    500424K            nid[001000,001+ 
3359847.266  alya_3D_l+    500040K            nid[001420-001+ 
3359847.267  alya_3D_l+    500248K            nid[001122,001+ 
3359847.268  alya_3D_l+    500036K            nid[001271,001+ 
3359847.269  alya_3D_l+    500188K            nid[001253-001+ 
3359847.270  alya_3D_l+    499820K            nid[001000,001+ 
3359847.271  alya_3D_l+    500084K            nid[001030-001+ 
3359847.272  alya_3D_l+    500292K            nid[001000,001+ 
3359847.273  alya_3D_l+    500360K            nid[001122,001+ 
3359847.274  alya_3D_l+    516360K            nid[001122,001+ 
3359847.275  alya_3D_l+    500328K            nid[001253-001+ 
3359847.276  alya_3D_l+    499960K            nid[001000,001+ 
3359847.277  alya_3D_l+    516144K            nid[001000,001+ 
3359847.278  alya_3D_l+    502116K            nid[002657,002+ 
3359847.279  alya_3D_l+    516208K            nid[001921-001+ 
3359847.280  alya_3D_l+    500716K            nid[001122,001+ 
3359847.281  alya_3D_l+    500052K            nid[001122,001+ 
3359847.282  alya_3D_l+    500380K            nid[001000,001+ 
3359847.283  alya_3D_l+    500184K            nid[001000,001+ 
3359847.284  alya_3D_l+    500160K            nid[001921-001+ 
3359847.285  alya_3D_l+    500428K            nid[001921-001+ 
3359847.286  alya_3D_l+    500132K            nid[001253-001+ 
3359847.287  alya_3D_l+    500496K            nid[001122,001+ 
3359847.288  alya_3D_l+    500016K            nid[001000,001+ 
3359847.289  alya_3D_l+    500084K            nid[001000,001+ 
3359847.290  alya_3D_l+    500056K            nid[001253-001+ 
3359847.291  alya_3D_l+    500148K            nid[001271,001+ 
3359847.292  alya_3D_l+    516536K            nid[001253-001+ 
3359847.293  alya_3D_l+    499908K            nid[001000,001+ 
3359847.294  alya_3D_l+    500244K            nid[001030-001+ 
3359847.295  alya_3D_l+    501292K            nid[001000,001+ 
3359847.296  alya_3D_l+    516076K            nid[001253-001+ 
3359847.297  alya_3D_l+    500312K            nid[001271,001+ 
3359847.298  alya_3D_l+    515356K            nid[001253-001+ 
3359847.299  alya_3D_l+    502024K            nid[001420-001+ 
3359847.300  alya_3D_l+    500520K            nid[001000,001+ 
3359847.301  alya_3D_l+    500428K            nid[001122,001+ 
3359847.302  alya_3D_l+    500476K            nid[001420-001+ 
3359847.303  alya_3D_l+    500496K            nid[001253-001+ 
3359847.304  alya_3D_l+    499992K            nid[002630-002+ 
3359847.305  alya_3D_l+    516364K            nid[001921-001+ 
3359847.306  alya_3D_l+    500384K            nid[001000,001+ 
3359847.307  alya_3D_l+    500124K            nid[001122,001+ 
3359847.308  alya_3D_l+    500236K            nid[001420-001+ 
3359847.309  alya_3D_l+    500056K            nid[001000,001+ 
3359847.310  alya_3D_l+    500376K            nid[001253-001+ 
3359847.311  alya_3D_l+    500152K            nid[001921-001+ 
3359847.312  alya_3D_l+    501560K            nid[001921-001+ 
3359847.313  alya_3D_l+    500416K            nid[001122,001+ 
3359847.314  alya_3D_l+    499872K            nid[001420-001+ 
3359847.315  alya_3D_l+    500448K            nid[001000,001+ 
3359847.316  alya_3D_l+    500028K            nid[001253-001+ 
3359847.317  alya_3D_l+    500344K            nid[002630-002+ 
3359847.318  alya_3D_l+    500472K            nid[001921-001+ 
3359847.319  alya_3D_l+    500512K            nid[001122,001+ 
3359847.320  alya_3D_l+    500656K            nid[001420-001+ 
3359847.321  alya_3D_l+    502180K            nid[001000,001+ 
3359847.322  alya_3D_l+    516200K            nid[001253-001+ 
3359847.323  alya_3D_l+    500412K            nid[002630-002+ 
3359847.324  alya_3D_l+    500388K            nid[001921-001+ 
3359847.325  alya_3D_l+    499820K            nid[001000,001+ 
3359847.326  alya_3D_l+    500600K            nid[001149,001+ 
3359847.327  alya_3D_l+    500444K            nid[001122,001+ 
3359847.328  alya_3D_l+    516148K            nid[001253-001+ 
3359847.329  alya_3D_l+    499980K            nid[002657,002+ 
3359847.330  alya_3D_l+    500084K            nid[001000,001+ 
3359847.331  alya_3D_l+    500452K            nid[001000,001+ 
3359847.332  alya_3D_l+    500436K            nid[001122,001+ 
3359847.333  alya_3D_l+    500284K            nid[001122,001+ 
3359847.334  alya_3D_l+    500020K            nid[001030-001+ 
3359847.335  alya_3D_l+    500468K            nid[001064,001+ 
3359847.336  alya_3D_l+    499844K            nid[001000,001+ 
3359847.337  alya_3D_l+    516640K            nid[001122,001+ 
3359847.338  alya_3D_l+    516164K            nid[001122,001+ 
3359847.339  alya_3D_l+    500672K            nid[001420-001+ 
3359847.340  alya_3D_l+    488.50M            nid[002657,002+ 
3359847.341  alya_3D_l+    500128K            nid[001000,001+ 
3359847.342  alya_3D_l+    503188K            nid[001000,001+ 
3359847.343  alya_3D_l+    515580K            nid[001122,001+ 
3359847.344  alya_3D_l+    500148K            nid[001420-001+ 
3359847.345  alya_3D_l+    514976K            nid[001921-001+ 
3359847.346  alya_3D_l+    499908K            nid[002657,002+ 
3359847.347  alya_3D_l+    499840K            nid[001000,001+ 
3359847.348  alya_3D_l+    500256K            nid[001000,001+ 
3359847.349  alya_3D_l+    500088K            nid[001122,001+ 
3359847.350  alya_3D_l+    500072K            nid[001431,001+ 
3359847.351  alya_3D_l+    516628K            nid[001420-001+ 
3359847.352  alya_3D_l+    501752K            nid[001921-001+ 
3359847.353  alya_3D_l+    516136K            nid[001000,001+ 
3359847.354  alya_3D_l+    500148K            nid[001000,001+ 
3359847.355  alya_3D_l+    500144K            nid[001122,001+ 
3359847.356  alya_3D_l+    499924K            nid[001122,001+ 
3359847.357  alya_3D_l+    516132K            nid[001420-001+ 
3359847.358  alya_3D_l+    500140K            nid[001921-001+ 
3359847.359  alya_3D_l+    500176K            nid[001253-001+ 
3359847.360  alya_3D_l+    500104K            nid[001000,001+ 
3359847.361  alya_3D_l+    516312K            nid[002657,002+ 
3359847.362  alya_3D_l+    500308K            nid[001253-001+ 
3359847.363  alya_3D_l+    500384K            nid[001493-001+ 
3359847.364  alya_3D_l+    500208K            nid[001420-001+ 
3359847.365  alya_3D_l+    500228K            nid[001122,001+ 
3359847.366  alya_3D_l+    500652K            nid[002657,002+ 
3359847.367  alya_3D_l+    499948K            nid[001000,001+ 
3359847.368  alya_3D_l+    500408K            nid[001253-001+ 
3359847.369  alya_3D_l+    515620K            nid[001122,001+ 
3359847.370  alya_3D_l+    517984K            nid[001122,001+ 
3359847.371  alya_3D_l+    499856K            nid[001420-001+ 
3359847.372  alya_3D_l+    500132K            nid[002657,002+ 
3359847.373  alya_3D_l+    500288K            nid[001000,001+ 
3359847.374  alya_3D_l+    499944K            nid[001000,001+ 
3359847.375  alya_3D_l+    500532K            nid[001921-001+ 
3359847.376  alya_3D_l+    500268K            nid[001122,001+ 
3359847.377  alya_3D_l+    500284K            nid[001149,001+ 
3359847.378  alya_3D_l+    500600K            nid[001122,001+ 
3359847.379  alya_3D_l+    500536K            nid[001253-001+ 
3359847.380  alya_3D_l+    500512K            nid[001000,001+ 
3359847.381  alya_3D_l+    500408K            nid[001431,001+ 
3359847.382  alya_3D_l+    500712K            nid[001420-001+ 
3359847.383  alya_3D_l+    500904K            nid[001122,001+ 
3359847.384  alya_3D_l+    515100K            nid[001122,001+ 
3359847.385  alya_3D_l+    500196K            nid[001253-001+ 
3359847.386  alya_3D_l+    516344K            nid[001000,001+ 
3359847.387  alya_3D_l+    500128K            nid[001000,001+ 
3359847.388  alya_3D_l+    503.50M            nid[001921-001+ 
3359847.389  alya_3D_l+    516372K            nid[001122,001+ 
3359847.390  alya_3D_l+    499992K            nid[001122,001+ 
3359847.391  alya_3D_l+    500076K            nid[001253-001+ 
3359847.392  alya_3D_l+    499768K            nid[001000,001+ 
3359847.393  alya_3D_l+    500516K            nid[001431,001+ 
3359847.394  alya_3D_l+    505248K            nid[001420-001+ 
3359847.395  alya_3D_l+    516048K            nid[002657,002+ 
3359847.396  alya_3D_l+    499848K            nid[001000,001+ 
3359847.397  alya_3D_l+    500084K            nid[001030-001+ 
3359847.398  alya_3D_l+    500524K            nid[001000,001+ 
3359847.399  alya_3D_l+    500500K            nid[001431,001+ 
3359847.400  alya_3D_l+    500308K            nid[001420-001+ 
3359847.401  alya_3D_l+    500008K            nid[002657,002+ 
3359847.402  alya_3D_l+    516036K            nid[001122,001+ 
3359847.403  alya_3D_l+    500488K            nid[001271,001+ 
3359847.404  alya_3D_l+    500556K            nid[001253-001+ 
3359847.405  alya_3D_l+    500628K            nid[001493-001+ 
3359847.406  alya_3D_l+    500404K            nid[001000,001+ 
3359847.407  alya_3D_l+    500564K            nid[001000,001+ 
3359847.408  alya_3D_l+    500180K            nid[001122,001+ 
3359847.409  alya_3D_l+    516528K            nid[001921-001+ 
3359847.410  alya_3D_l+    500124K            nid[001253-001+ 
3359847.411  alya_3D_l+    500028K            nid[001030-001+ 
3359847.412  alya_3D_l+    500012K            nid[001000,001+ 
3359847.413  alya_3D_l+    500236K            nid[001420-001+ 
3359847.414  alya_3D_l+    500136K            nid[001122,001+ 
3359847.415  alya_3D_l+    500568K            nid[001921-001+ 
3359847.416  alya_3D_l+    499912K            nid[002657,002+ 
3359847.417  alya_3D_l+    517268K            nid[001000,001+ 
3359847.418  alya_3D_l+    500304K            nid[001030-001+ 
3359847.419  alya_3D_l+    505540K            nid[001000,001+ 
3359847.420  alya_3D_l+    500120K            nid[001122,001+ 
3359847.421  alya_3D_l+    516524K            nid[001921-001+ 
3359847.422  alya_3D_l+    499972K            nid[001420-001+ 
3359847.423  alya_3D_l+    515936K            nid[001253-001+ 
3359847.424  alya_3D_l+    500476K            nid[001000,001+ 
3359847.425  alya_3D_l+    499960K            nid[001000,001+ 
3359847.426  alya_3D_l+    500396K            nid[001122,001+ 
3359847.427  alya_3D_l+    500136K            nid[002657,002+ 
3359847.428  alya_3D_l+    500228K            nid[001420-001+ 
3359847.429  alya_3D_l+    500248K            nid[001420-001+ 
3359847.430  alya_3D_l+    517096K            nid[001000,001+ 
3359847.431  alya_3D_l+    516276K            nid[001000,001+ 
3359847.432  alya_3D_l+    500356K            nid[001253-001+ 
3359847.433  alya_3D_l+    500240K            nid[002657,002+ 
3359847.434  alya_3D_l+    516408K            nid[001420-001+ 
3359847.435  alya_3D_l+    500244K            nid[001420-001+ 
3359847.436  alya_3D_l+    515948K            nid[001122,001+ 
3359847.437  alya_3D_l+    500732K            nid[001122,001+ 
3359847.438  alya_3D_l+    500376K            nid[001000,001+ 
3359847.439  alya_3D_l+    500460K            nid[001000,001+ 
3359847.440  alya_3D_l+    500164K            nid[001420-001+ 
3359847.441  alya_3D_l+    500232K            nid[001420-001+ 
3359847.442  alya_3D_l+    500688K            nid[001122,001+ 
3359847.443  alya_3D_l+    500160K            nid[001030-001+ 
3359847.444  alya_3D_l+    500120K            nid[001000,001+ 
3359847.445  alya_3D_l+    500148K            nid[001253-001+ 
3359847.446  alya_3D_l+    500428K            nid[001921-001+ 
3359847.447  alya_3D_l+    499904K            nid[001420-001+ 
3359847.448  alya_3D_l+    516120K            nid[002657,002+ 
3359847.449  alya_3D_l+    514968K            nid[001000,001+ 
3359847.450  alya_3D_l+    515520K            nid[001000,001+ 
3359847.451  alya_3D_l+    500608K            nid[001122,001+ 
3359847.452  alya_3D_l+    500136K            nid[001271,001+ 
3359847.453  alya_3D_l+    516604K            nid[001253-001+ 
3359847.454  alya_3D_l+    500076K            nid[002657,002+ 
3359847.455  alya_3D_l+    516332K            nid[001000,001+ 
3359847.456  alya_3D_l+    500052K            nid[001030-001+ 
3359847.457  alya_3D_l+    500184K            nid[001064,001+ 
